glucose,carbs,time,irr
60, 0, 115, 1.40431e-08g
60, 0, 116, 1.05323e-08g
60, 0, 117, 7.89925e-09g
60, 0, 118, 5.92444e-09g
60, 0, 119, 4.44333e-09g
60, 0, 120, 3.3325e-09g
60, 0, 121, 2.49937e-09g
60, 0, 122, 1.87453e-09g
60, 0, 123, 1.4059e-09g
60, 0, 124, 1.05442e-09g
60, 0, 125, 7.90817e-10g
60, 0, 126, 5.93113e-10g
60, 0, 127, 4.44835e-10g
60, 0, 128, 3.33626e-10g
60, 0, 129, 2.50219e-10g
60, 0, 130, 1.87665e-10g
60, 0, 131, 1.40748e-10g
60, 0, 132, 1.05561e-10g
60, 0, 133, 7.9171e-11g
60, 0, 134, 5.93783e-11g
60, 0, 135, 4.45337e-11g
60, 0, 136, 3.34003e-11g
60, 0, 137, 2.50502e-11g
60, 0, 138, 1.87877e-11g
256, 0.073695, 139, 2.93557e-11g
1584, 0.00012976, 140, 4.58683e-11g
1997.12, 2.1836e-07, 141, 7.16692e-11g
197.797, 3.51181e-10, 142, 1.11983e-10g
60.1418, 5.39777e-13, 143, 8.39873e-11g
60.0003, 7.92911e-16, 144, 6.29905e-11g
60, 1.11317e-18, 145, 4.72429e-11g
60, 1.49357e-21, 146, 3.54322e-11g
60, 1.9152e-24, 147, 2.65741e-11g
60, 2.34709e-27, 148, 1.99306e-11g
60, 2.74899e-30, 149, 1.49479e-11g
60, 3.0771e-33, 150, 1.1211e-11g
1104, 0.00106978, 151, 1.75171e-11g
1733, 1.09375e-06, 152, 2.73705e-11g
1868.46, 1.06872e-09, 153, 4.27664e-11g
61.131, 9.98023e-13, 154, 3.20748e-11g
60.0014, 8.90721e-16, 155, 2.40561e-11g
60, 7.59748e-19, 156, 1.80421e-11g
60, 6.19332e-22, 157, 1.35316e-11g
60, 4.82508e-25, 158, 1.01487e-11g
60, 3.59262e-28, 159, 7.6115e-12g
60, 2.55649e-31, 160, 5.70863e-12g
60, 1.73862e-34, 161, 4.28147e-12g
60, 1.13003e-37, 162, 3.2111e-12g
60, 7.01952e-41, 163, 2.40833e-12g
60, 4.2039e-44, 164, 1.80625e-12g
60, 0, 165, 1.35468e-12g
60, 0, 166, 1.01601e-12g
1344, 0.00518226, 167, 1.58752e-12g
912, 2.56664e-06, 168, 2.4805e-12g
910.871, 1.21489e-09, 169, 3.87578e-12g
74.1931, 5.49585e-13, 170, 2.90684e-12g
60.0086, 2.37607e-16, 171, 2.18013e-12g
60, 9.81772e-20, 172, 1.6351e-12g
1696, 0.00394891, 173, 2.55484e-12g
128, 1.49033e-06, 174, 3.19355e-12g
1192.47, 5.37542e-10, 175, 4.98991e-12g
64.8783, 1.85297e-13, 176, 3.74244e-12g
60.0022, 6.10454e-17, 177, 2.80683e-12g
60, 1.92204e-20, 178, 2.10512e-12g
60, 5.78361e-24, 179, 1.57884e-12g
