glucose,carbs,time,irr
65.5892, 122.045, 1, 0.0168g
77.3347, 111.474, 2, 0.0168g
83.0276, 97.309, 3, 0.0168g
85.9887, 81.1818, 4, 0.0168g
86.2814, 64.7279, 5, 0.0168g
84.3859, 49.3231, 6, 0.0168g
81.0257, 35.9199, 7, 0.0168g
76.9731, 25.0004, 8, 0.0168g
72.8911, 16.6297, 9, 0.0126g
74.5164, 10.5718, 10, 0.00945g
74.7437, 6.42304, 11, 0.0070875g
73.7699, 3.72957, 12, 0.00531562g
71.9596, 2.06968, 13, 0.00398672g
69.729, 1.09767, 14, 0.00299004g
67.4491, 0.556378, 15, 0.00224253g
65.3864, 0.269521, 16, 0.0016819g
63.6876, 0.124779, 17, 0.00126142g
62.3947, 0.0552102, 18, 0.000946067g
61.4772, 0.0233465, 19, 0.00070955g
60.8665, 0.0094352, 20, 0.000532163g
60.4838, 0.00364424, 21, 0.000399122g
60.2572, 0.00134521, 22, 0.000299342g
60.1303, 0.000474567, 23, 0.000224506g
60.0629, 0.000160005, 24, 0.00016838g
60.029, 5.15578e-05, 25, 0.000126285g
60.0127, 1.58775e-05, 26, 9.47135e-05g
60.0053, 4.67301e-06, 27, 7.10351e-05g
60.0021, 1.31443e-06, 28, 5.32764e-05g
60.0008, 3.5335e-07, 29, 3.99573e-05g
60.0003, 9.07817e-08, 30, 2.9968e-05g
60.0001, 2.22904e-08, 31, 2.2476e-05g
60, 5.23077e-09, 32, 1.6857e-05g
60, 1.17311e-09, 33, 1.26427e-05g
195.188, 2.14338, 34, 1.97543e-05g
1964.83, 0.439062, 35, 3.0866e-05g
577.497, 0.0859564, 36, 4.82282e-05g
125.484, 0.0160826, 37, 6.02852e-05g
69.8957, 0.00287583, 38, 4.52139e-05g
62.3837, 0.000491467, 39, 3.39104e-05g
60.5484, 8.027e-05, 40, 2.54328e-05g
60.1205, 1.25296e-05, 41, 1.90746e-05g
60.0253, 1.86917e-06, 42, 1.4306e-05g
60.0051, 2.66494e-07, 43, 1.07295e-05g
60.001, 3.63121e-08, 44, 8.04711e-06g
60.0002, 4.7287e-09, 45, 6.03533e-06g
60, 5.88517e-10, 46, 4.5265e-06g
157.156, 7.01771, 47, 7.07265e-06g
1883.04, 0.797748, 48, 1.1051e-05g
973.031, 0.0866687, 49, 1.72672e-05g
263.565, 0.00899882, 50, 2.698e-05g
73.5887, 0.000892966, 51, 2.0235e-05g
61.8074, 8.46859e-05, 52, 1.51763e-05g
64.6875, 5.34755, 53, 1.13822e-05g
179.844, 1.24282, 54, 1.77847e-05g
960.405, 0.102887, 55, 2.77886e-05g
632.32, 4.67617, 56, 4.34196e-05g
557.524, 0.353589, 57, 6.78432e-05g
278.093, 0.0255525, 58, 0.000106005g
70.0963, 0.0017648, 59, 7.95037e-05g
60.9343, 0.000116488, 60, 5.96278e-05g
60.0826, 7.34846e-06, 61, 4.47209e-05g
60.007, 4.43034e-07, 62, 3.35406e-05g
60.0006, 2.55272e-08, 63, 2.51555e-05g
60, 1.40572e-09, 64, 1.88666e-05g
60, 7.39805e-11, 65, 1.415e-05g
60, 3.72103e-12, 66, 1.06125e-05g
662.969, 0.480699, 67, 1.6582e-05g
1311.38, 0.0220837, 68, 2.59093e-05g
96.8461, 0.000969612, 69, 2.59093e-05g
61.621, 4.06865e-05, 70, 1.9432e-05g
60.0909, 1.63166e-06, 71, 1.4574e-05g
60.0049, 6.25365e-08, 72, 1.09305e-05g
60.0002, 2.29068e-09, 73, 8.19788e-06g
60, 8.01906e-11, 74, 6.14841e-06g
60, 2.68292e-12, 75, 4.61131e-06g
60, 8.57865e-14, 76, 3.45848e-06g
60, 2.62154e-15, 77, 2.59386e-06g
1566.88, 0.292054, 78, 4.05291e-06g
1232.17, 0.00815181, 79, 6.33267e-06g
116.728, 0.000217456, 80, 7.91583e-06g
61.2119, 5.54389e-06, 81, 5.93688e-06g
60.0412, 1.35078e-07, 82, 4.45266e-06g
60.0013, 3.14543e-09, 83, 3.33949e-06g
1836.06, 0.667642, 84, 5.21796e-06g
1730.3, 0.0142002, 85, 8.15306e-06g
137.239, 0.000288648, 86, 1.01913e-05g
61.257, 5.60752e-06, 87, 7.64349e-06g
60.0326, 1.04112e-07, 88, 5.73262e-06g
60.0008, 1.84737e-09, 89, 4.29946e-06g
60, 3.13282e-11, 90, 3.2246e-06g
60, 5.07742e-13, 91, 2.41845e-06g
60, 7.86462e-15, 92, 1.81384e-06g
96.25, 0.740169, 93, 1.81384e-06g
280.77, 0.0104717, 94, 2.83412e-06g
225.069, 0.00014159, 95, 4.42831e-06g
61.4291, 1.82967e-06, 96, 3.32123e-06g
60.0246, 2.25964e-08, 97, 2.49093e-06g
60.0004, 2.66705e-10, 98, 1.86819e-06g
60, 3.00851e-12, 99, 1.40115e-06g
60, 3.24338e-14, 100, 1.05086e-06g
60, 3.34172e-16, 101, 7.88144e-07g
60, 3.29055e-18, 102, 5.91108e-07g
60, 3.09667e-20, 103, 4.43331e-07g
60, 2.78514e-22, 104, 3.32498e-07g
60, 2.394e-24, 105, 2.49374e-07g
60, 1.96666e-26, 106, 1.8703e-07g
60, 1.54405e-28, 107, 1.40273e-07g
60, 1.15856e-30, 108, 1.05205e-07g
60, 8.30813e-33, 109, 7.89034e-08g
60, 5.69395e-35, 110, 5.91776e-08g
60, 3.7295e-37, 111, 4.43832e-08g
60, 2.33461e-39, 112, 3.32874e-08g
60, 1.39667e-41, 113, 2.49655e-08g
60, 7.9874e-44, 114, 1.87242e-08g
