glucose,carbs,time,irr
65.5892, 122.045, 1, 0.0168
77.3347, 111.474, 2, 0.0168
83.0276, 97.309, 3, 0.0168
85.9887, 81.1818, 4, 0.0168
86.2814, 64.7279, 5, 0.0168
84.3859, 49.3231, 6, 0.0168
81.0257, 35.9199, 7, 0.0168
76.9731, 25.0004, 8, 0.0168
72.8911, 16.6297, 9, 0.0126
74.5164, 10.5718, 10, 0.00945
74.7437, 6.42304, 11, 0.0070875
73.7699, 3.72957, 12, 0.00531562
71.9596, 2.06968, 13, 0.00398672
69.729, 1.09767, 14, 0.00299004
67.4491, 0.556378, 15, 0.00224253
65.3864, 0.269521, 16, 0.0016819
2389.65, 78.8291, 17, 0.00262796
752.993, 34.8789, 18, 0.00410619
252.402, 14.7491, 19, 0.00641593
109.193, 5.96067, 20, 0.00801991
75.3219, 2.30224, 21, 0.00801991
66.0515, 0.849831, 22, 0.00601493
63.2955, 0.299807, 23, 0.0045112
61.679, 0.101083, 24, 0.0033834
60.8048, 0.0325715, 25, 0.00253755
60.3643, 0.0100306, 26, 0.00190316
60.1562, 0.00295216, 27, 0.00142737
60.0636, 0.000830388, 28, 0.00107053
60.0246, 0.000223228, 29, 0.000802897
60.0091, 5.73512e-05, 30, 0.000602172
60.0032, 1.40819e-05, 31, 0.000451629
60.0011, 3.30453e-06, 32, 0.000338722
60.0003, 7.4111e-07, 33, 0.000254041
60.0001, 1.58848e-07, 34, 0.000190531
60, 3.25393e-08, 35, 0.000142898
60, 6.37031e-09, 36, 0.000107174
60, 1.1919e-09, 37, 8.03803e-05
60, 2.1313e-10, 38, 6.02852e-05
60, 3.64231e-11, 39, 4.52139e-05
60, 5.94888e-12, 40, 3.39104e-05
60, 9.28582e-13, 41, 2.54328e-05
60, 1.38526e-13, 42, 1.90746e-05
60, 1.97501e-14, 43, 1.4306e-05
60, 2.69112e-15, 44, 1.07295e-05
60, 3.50449e-16, 45, 8.04711e-06
60, 4.36156e-17, 46, 6.03533e-06
60, 5.18782e-18, 47, 4.5265e-06
60, 5.89733e-19, 48, 3.39487e-06
60, 6.40696e-20, 49, 2.54616e-06
60, 6.65235e-21, 50, 1.90962e-06
60, 6.60122e-22, 51, 1.43221e-06
60, 6.26038e-23, 52, 1.07416e-06
60, 5.67418e-24, 53, 8.05619e-07
60, 4.91509e-25, 54, 6.04215e-07
60, 4.06899e-26, 55, 4.53161e-07
60, 3.21936e-27, 56, 3.39871e-07
60, 2.43432e-28, 57, 2.54903e-07
60, 1.75919e-29, 58, 1.91177e-07
60, 1.21499e-30, 59, 1.43383e-07
60, 8.01975e-32, 60, 1.07537e-07
3.76272e+07, 4.41583, 61, 1.68027e-07
1.11878e+06, 0.266227, 62, 2.62542e-07
43348.3, 0.0153398, 63, 4.10222e-07
1660.62, 0.000844721, 64, 6.40972e-07
116.555, 4.44563e-05, 65, 8.01215e-07
62.387, 2.23604e-06, 66, 6.00911e-07
60.1605, 1.07486e-07, 67, 4.50683e-07
3.83579e+06, 1.83764, 68, 7.04193e-07
113077, 0.0806836, 69, 1.1003e-06
3242.14, 0.00338561, 70, 1.71922e-06
145.619, 0.000135774, 71, 2.14903e-06
62.7519, 5.2038e-06, 72, 1.61177e-06
60.1409, 1.90613e-07, 73, 1.20883e-06
60.0069, 6.67284e-09, 74, 9.0662e-07
60.0003, 2.23252e-10, 75, 6.79965e-07
644934, 0.31975, 76, 1.06245e-06
426586, 0.31536, 77, 1.66007e-06
273288, 0.301265, 78, 2.59386e-06
174906, 0.287528, 79, 4.05291e-06
111940, 0.274428, 80, 6.33267e-06
71645, 0.261939, 81, 9.89479e-06
45857.6, 0.250034, 82, 1.54606e-05
29354.6, 0.238683, 83, 2.41572e-05
18793.1, 0.227859, 84, 3.77456e-05
12034, 0.217537, 85, 5.89776e-05
7708.29, 0.207693, 86, 9.21524e-05
4939.87, 0.198303, 87, 0.000143988
3168.06, 0.189346, 88, 0.000224982
2034.1, 0.180801, 89, 0.000351534
1308.39, 0.172649, 90, 0.000549271
844.036, 0.16487, 91, 0.000858236
547.066, 0.157448, 92, 0.00134099
357.417, 0.150365, 93, 0.0020953
236.741, 0.143605, 94, 0.00327391
160.609, 0.137153, 95, 0.00511549
113.5, 0.130995, 96, 0.00639436
60.4845, 0.00161779, 97, 0.00479577
60.0093, 1.90949e-05, 98, 0.00359683
60.0002, 2.15395e-07, 99, 0.00269762
60, 2.32211e-09, 100, 0.00202322
60, 2.39251e-11, 101, 0.00151741
60, 2.35588e-13, 102, 0.00113806
60, 2.21707e-15, 103, 0.000853544
60, 1.99403e-17, 104, 0.000640158
60, 1.71399e-19, 105, 0.000480118
60, 1.40804e-21, 106, 0.000360089
60, 1.10547e-23, 107, 0.000270067
60, 8.29475e-26, 108, 0.00020255
60, 5.94823e-28, 109, 0.000151912
60, 4.0766e-30, 110, 0.000113934
60, 2.67015e-32, 111, 8.54508e-05
60, 1.67147e-34, 112, 6.40881e-05
60, 9.99975e-37, 113, 4.80661e-05
60, 5.71749e-39, 114, 3.60495e-05
60, 3.12434e-41, 115, 2.70372e-05
60, 1.62551e-43, 116, 2.02779e-05
60, 1.4013e-45, 117, 1.52084e-05
60, 0, 118, 1.14063e-05
60, 0, 119, 8.55473e-06
60, 0, 120, 6.41604e-06
60, 0, 121, 4.81203e-06
60, 0, 122, 3.60903e-06
60, 0, 123, 2.70677e-06
60, 0, 124, 2.03008e-06
60, 0, 125, 1.52256e-06
60, 0, 126, 1.14192e-06
60, 0, 127, 8.56439e-07
60, 0, 128, 6.42329e-07
60, 0, 129, 4.81747e-07
60, 0, 130, 3.6131e-07
60, 0, 131, 2.70983e-07
60, 0, 132, 2.03237e-07
60, 0, 133, 1.52428e-07
60, 0, 134, 1.14321e-07
60, 0, 135, 8.57406e-08
60, 0, 136, 6.43054e-08
60, 0, 137, 4.82291e-08
60, 0, 138, 3.61718e-08
60, 0, 139, 2.71289e-08
60, 0, 140, 2.03466e-08
60, 0, 141, 1.526e-08
8.89131e+07, 0.0482479, 142, 2.38437e-08
7.59694e+07, 0.0615556, 143, 3.72558e-08
74796.1, 9.04227e-05, 144, 5.82122e-08
130.266, 1.26945e-07, 145, 7.27652e-08
60.0789, 1.70325e-10, 146, 5.45739e-08
60.0001, 2.18407e-13, 147, 4.09305e-08
60, 2.6766e-16, 148, 3.06978e-08
60, 3.13491e-19, 149, 2.30234e-08
60, 3.50909e-22, 150, 1.72675e-08
60, 3.75396e-25, 151, 1.29507e-08
3.49432e+07, 0.010224, 152, 2.02354e-08
22925.6, 9.99011e-06, 153, 3.16178e-08
2.86279e+07, 0.0186769, 154, 4.94028e-08
2.7501e+07, 0.0267912, 155, 7.71919e-08
15768.8, 2.28518e-05, 156, 1.20612e-07
1.50109e+07, 0.0326073, 157, 1.88457e-07
9.61505e+06, 0.0311885, 158, 2.94464e-07
1.54203e+06, 0.00746895, 159, 4.601e-07
794.792, 5.31487e-06, 160, 7.18906e-07
1.25931e+06, 0.0136016, 161, 1.12329e-06
403552, 0.00650844, 162, 1.75514e-06
227.829, 4.04287e-06, 163, 2.74241e-06
660102, 0.0237465, 164, 4.28501e-06
105893, 0.00568717, 165, 6.69533e-06
98.415, 3.08382e-06, 166, 6.69533e-06
67608, 0.00518226, 167, 1.04615e-05
82.3894, 2.56664e-06, 168, 1.04615e-05
60.0111, 1.21489e-09, 169, 7.84609e-06
60, 5.49585e-13, 170, 5.88457e-06
153800, 0.00864679, 171, 9.19464e-06
147610, 0.0123993, 172, 1.43666e-05
125860, 0.0158006, 173, 2.24478e-05
91.7486, 5.96316e-06, 174, 2.24478e-05
20153.3, 0.00360687, 175, 3.50748e-05
130940, 0.0351619, 176, 5.48043e-05
88.7723, 1.15839e-05, 177, 5.48043e-05
24607.5, 0.00944564, 178, 8.56317e-05
15687.7, 0.00903014, 179, 0.0001338
